Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Comment,Status Category,Status Category Changed
Fix test_db.py schema mismatch against current database schema,CV-17,10308,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 8:56 PM,23/Mar/26 8:26 AM,23/Mar/26 8:13 AM,,,0,"test_db.py was written against an older version of the schema and references
table names and role names that likely differ from the current schema in
uvote-platform/k8s/database/schema.sql.

The following tests are at risk of failing against the live database:

  Test 3 (Tables Exist):
    Currently asserts these 7 tables exist:
      admins, elections, candidates, voters, voting_tokens, votes, audit_logs
    Current schema may use different names e.g.:
      organisers (instead of admins)
      election_options (instead of candidates)
      audit_log (instead of audit_logs)
    Verify all 7 table names against schema.sql and update assertions.

  Test 4 (Sample Data):
    Asserts admins, elections, candidates each have at least 1 seed row.
    If table names have changed, these queries will fail with ""relation
    does not exist"" rather than a meaningful assertion failure.

  Test 7 (User Permissions):
    Asserts auth_service role can SELECT from admins.
    Asserts results_service role can SELECT from votes but cannot INSERT.
    If the admins table is now named organisers, the SELECT will fail.
    Verify all role names and their target tables against schema.sql GRANT
    statements before running.

  Test 8 (Complex Queries):
    Runs a multi-table JOIN: candidates LEFT JOIN votes.
    If candidates is now election_options, this query will fail.

Action:

# Read uvote-platform/k8s/database/schema.sql in full
# Compare every table name and role name referenced in test_db.py
against the actual schema
# Update all mismatched references
# Run test_db.py --quick against the live cluster to confirm all
10 tests pass before marking this ticket done",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000gz:,,,,,,,In Progress,22/Mar/26 8:30 AM
Convert existing test files to pytest framework and add conftest.py,CV-9,10300,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:55 PM,23/Mar/26 9:31 AM,23/Mar/26 9:32 AM,,,0,"Neither test_api.py nor test_db.py uses pytest. Both are standalone scripts
run as: python tests/test_api.py

They use no pytest imports, no fixtures, no test discovery, and no assertions
via pytest.assert. They implement their own PASS/FAIL tracking with counters.

Convert to pytest by:

# Rename test functions to follow pytest naming: test_*()
# Replace manual PASS/FAIL counters with pytest assertions
# Create tests/conftest.py with shared fixtures:
#* db_connection: connects via kubectl exec to PostgreSQL pod
#* api_client: httpx.AsyncClient pointed at port-forwarded services
#* auth_token: logs in and returns a valid JWT for use in protected tests
#* mailhog: MailHog helper (from MailHog ticket)
# Add pytest and pytest-asyncio to a top-level requirements-dev.txt:
  pytest==8.0.0
  pytest-asyncio==0.23.0
  httpx==0.27.0

The sequential state-passing pattern in test_api.py (JWT → election_id →
voter_id → voting_token passed between stages) should be refactored into
session-scoped fixtures in conftest.py.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000hj:,,,,"23/Mar/26 8:43 AM;63bb170a2341bff4fff5d364;I split the ticket into 2 parts, one for API Tests and the other for DB tests.

The commit will show CV-9a and CV-9b",,,In Progress,23/Mar/26 8:39 AM
Add pytest unit tests for voting-service,CV-11,10302,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:56 PM,23/Mar/26 10:18 AM,23/Mar/26 9:59 AM,,,0,"Create voting-service/tests/test_voting.py with pytest unit tests.

Key functions to test in voting-service/app.py:

  GET /vote/{token} (ballot page)

* Returns 200 with ballot HTML for valid token
* Redirects or returns error for invalid/used token

  POST /vote/submit

* Returns 200 with receipt on valid ballot token + candidate selection
* Rejects duplicate submission (same ballot token used twice) — this is
tested in test_api.py Stage 3 and must be preserved
* Returns error on invalid ballot token

  GET /receipt/{receipt_token}

* Returns 200 with verified=True for a valid receipt token

Important: voting-service makes httpx calls to auth-service with no try/except.
Mock the httpx client in tests to simulate auth-service being unreachable and
assert that a meaningful error (not an unformatted 500) is returned.

voting-service uses safe_json() to silently swallow JSONDecodeError from
auth-service responses. Test that safe_json() returns None on malformed JSON
and that the calling code handles None correctly.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000hz:,,,,,,,In Progress,23/Mar/26 9:34 AM
Add pytest unit tests for election-service,CV-12,10303,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:57 PM,23/Mar/26 4:16 PM,23/Mar/26 3:58 PM,,,0,"Create election-service/tests/test_election.py with pytest unit tests.

Key functions to test in election-service/app.py:

  POST /elections

* Returns 201 with election_id on valid input (title, description, options)
* Returns 400/422 on missing required fields

  GET /elections

* Returns list of elections for authenticated organiser
* Returns 401/403 for unauthenticated request

  GET /elections/{id}

* Returns election detail for valid id
* Returns 404 for non-existent election

  POST /elections/{id}/open

* Returns 200 and changes status from draft to open
* Returns 400/403 if election is already open

  POST /elections/{id}/close

* Returns 200 and changes status from open to closed
* Results blocked while election is open (tested in test_api.py Stage 4)

Note: election-service/app.py has NO try/except blocks anywhere and NO
logger declared. All DB and HTTP errors propagate completely unhandled.
Tests should use a mock DB pool to simulate DB failures and confirm that
FastAPI's default 500 handler is triggered rather than a silent hang.

HTML form handlers use flash() for user-visible errors — test both the
JSON API endpoints and the form endpoints separately.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000i7:,,,,23/Mar/26 4:16 PM;63bb170a2341bff4fff5d364;Found a bug in the code where the html form endpoint has no server side validation,,,In Progress,23/Mar/26 9:34 AM
Add pytest unit tests for frontend-service,CV-13,10304,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:57 PM,23/Mar/26 9:14 PM,23/Mar/26 9:13 PM,,,0,"Create frontend-service/tests/test_frontend.py with pytest unit tests.

Key functions to test in frontend-service/app.py:

  GET /

* Returns 200 with HTML landing page (already tested in test_api.py Stage 6
as a single smoke test — expand this with content assertions)

  GET /health (new endpoint — depends on health check fix ticket)

* Returns {""status"": ""healthy"", ""service"": ""frontend""}

  Auth-proxied routes (login, dashboard, etc.)

* Unauthenticated requests redirect to login page
* Authenticated requests with valid JWT render correct template

Note: frontend-service has 3 unused dependencies that should be removed
before writing tests:
  asyncpg==0.29.0    (no DB access in this service)
  passlib[bcrypt]==1.7.4  (unused)
  bcrypt==4.0.1      (unused)

frontend-service makes httpx calls to auth-service with no try/except.
Use mock httpx in tests to simulate auth-service being unreachable.
The safe_json() helper silently swallows JSONDecodeError — test that
the UI returns a meaningful error page rather than a blank 500.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000if:,,,,,,,In Progress,23/Mar/26 9:34 AM
Add pytest unit tests for voter-service (admin-service),CV-15,10306,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:59 PM,23/Mar/26 9:35 PM,23/Mar/26 9:35 PM,,,0,"Create voter-service/tests/test_voter.py with pytest unit tests.

Note on naming: voter-service/app.py is deployed as admin-service in the
cluster (admin-deployment.yaml). The health endpoint currently returns
{""service"": ""voter""} — this will return {""service"": ""admin""} after the
health endpoint fix ticket is resolved.

Key functions to test in voter-service/app.py:

  POST /elections/{id}/voters

* Returns 201 with voter_id on valid input (email, date_of_birth)
* Returns 409 when voter email already exists in election — currently
catches broad Exception and checks ""unique"" in str(e), same pattern
as auth-service register(). Test that the 409 is returned correctly
and that raw str(e) is NOT leaked in the response body.
* Returns 422 on missing fields

  POST /elections/{id}/voters/upload (CSV upload)

* Returns 200 with voters_added and voters_skipped counts
* Silently skips invalid rows (current behaviour in upload_voters())
* Test with a mixed CSV containing valid and duplicate rows

  POST /elections/{id}/tokens/generate

* Returns 200 with emails_sent and emails_failed counts
* Token is inserted into voting_tokens table with 7-day expiry
* Uses secrets.token_urlsafe(32) — 43 URL-safe characters
* Email failures are non-fatal: emails_failed is incremented but
the request still succeeds and tokens exist in DB
* With MailHog deployed, assert email is received and contains
the correct /vote/{token} URL

  POST /mfa/verify

* Returns 200 on correct date_of_birth
* Returns 403 on wrong date_of_birth
* Note: this endpoint is duplicated in both voter-service and
auth-service — both implementations should be tested identically

voter-service is the only service that actively uses its logger —
logger.error() is called on SMTP failures in generate_tokens().
Test that this log call fires when MailHog is unreachable.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000iv:,,,,,,,In Progress,23/Mar/26 9:34 AM
Replace kubectl exec psql workaround in test_api.py with MailHog email flow,CV-16,10307,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 8:55 PM,23/Mar/26 11:23 PM,23/Mar/26 11:22 PM,,,0,"test_api.py currently bypasses the email flow entirely at line 387 with a
direct database insert via kubectl exec psql:

h1. Generate voting token directly via DB (SMTP unavailable in test cluster)

h1. The tokens/generate endpoint generates tokens then emails them; the email

h1. step hangs because outbound SMTP is blocked by network policy.

  kubectl exec -n uvote-dev deployment/postgresql -- psql -U uvote_admin \
  -d uvote -c ""INSERT INTO voting_tokens (token, voter_id, election_id, \
  expires_at) VALUES ('<64-char hex token>', <voter_id>, <election_id>, \
  NOW() + INTERVAL '7 days')""

This workaround exists because port 587 to [smtp.gmail.com|http://smtp.gmail.com] is blocked by
00-default-deny network policy and SMTP credentials are missing from
admin-deployment.yaml.

Once MailHog is deployed and SMTP env vars are updated, replace this
workaround with the proper flow:

# Call POST /elections/{id}/tokens/generate via the API
# Use the MailHog helper from conftest.py to retrieve the email
sent to the test voter address
# Extract the /vote/{token} URL from the email body
# Use that token for the remainder of the test stages

This means the full voter journey — token generation → email delivery →
token extraction → MFA → ballot → vote — is tested end to end without
any direct DB manipulation.

Depends on:

* Deploy MailHog to cluster as a test SMTP server
* Configure email-service to point to MailHog in test environment
* Write test helper function to query MailHog API and extract voting token URL
* Add MailHog extraction to conftest.py as a shared pytest fixture",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000j3:,,,,23/Mar/26 11:23 PM;63bb170a2341bff4fff5d364;this was completed as part of cv-9,,,In Progress,23/Mar/26 11:22 PM
Add pytest unit tests for shared/ utilities,CV-18,10309,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 8:56 PM,20/Mar/26 10:09 PM,,,,0,"The shared/ directory contains 3 modules that every service depends on,
none of which have any tests:

  shared/security.py
  shared/schemas.py
  shared/database.py

Create tests/test_shared.py covering:

  security.py:

* Token generation: secrets.token_urlsafe(32) produces a 43-character
URL-safe string — assert length and character set
* BALLOT_TOKEN_SECRET: assert that the hardcoded fallback default is
not used when the env var is set (this is the security risk flagged
in the audit at shared/security.py lines 64-66)
* bcrypt password hashing: assert hash is produced and verify() returns
True for correct password, False for wrong password
* JWT encoding/decoding: assert payload round-trips correctly with
organiser_id, email, exp fields intact

  schemas.py:

* Pydantic model validation: assert that required fields raise
ValidationError when missing
* EmailStr fields: assert invalid email formats are rejected
* Assert that TokenVerifyResponse only exposes {valid, organiser_id,
email, error} — election_id and voter_id are intentionally stripped
from the HTTP response (noted in test_api.py Check 4 comments)

  database.py:

* Connection pool initialisation: mock asyncpg.create_pool and assert
it is called with the correct DATABASE_URL env var
* Assert pool is singleton — calling init_db() twice does not create
a second pool
* Assert get_db() raises a meaningful error if pool is not initialised

Add to requirements-dev.txt if not already present:
  pytest-asyncio==0.23.0  (required for async pool tests)
  pytest-mock==3.12.0     (required for mocking asyncpg and env vars)",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000jj:,,,,,,,In Progress,20/Mar/26 10:09 PM
Reconcile database schema and separate concerns into three files,CV-34,10357,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,21/Mar/26 7:38 AM,21/Mar/26 8:27 AM,21/Mar/26 7:46 AM,,,0,"The project currently has two divergent SQL schema files that are causing runtime failures across all application services:

{{uvote-platform/k8s/database/schema.sql}} (Luke) — simple schema used by the Kubernetes cluster. Contains {{admins}}, {{elections}}, {{candidates}}, {{voters}}, {{voting_tokens}}, {{votes}}, {{audit_logs}}. Also contains {{CREATE USER}}, {{GRANT}}, and {{INSERT}} seed data mixed into the same file.

{{database/init.sql}} (Hafsa) — full production schema used by Docker Compose. Contains {{organisations}}, {{organisers}}, {{elections}}, {{voters}}, {{voter_mfa}}, {{election_options}}, {{voting_tokens}}, {{blind_tokens}}, {{encrypted_ballots}}, {{vote_receipts}}, {{tallied_votes}}. Has pgcrypto, anonymity bridge design, and automatic hash triggers. Missing: {{audit_log}} table, database roles, and GRANTs.

All application services were written against {{init.sql}}. The Kubernetes cluster runs {{schema.sql}}. This mismatch causes {{UndefinedTableError}} at runtime — for example {{auth-service}} crashes with {{relation ""organisers"" does not exist}} because the cluster is missing the correct tables.

----

*Root Cause*

The two schemas were developed independently without coordination. The cluster schema and the application code are pointing at different table names throughout.

----

*Deliverables*

Produce three new files that replace {{schema.sql}} on the cluster. {{database/init.sql}} must not be modified.

*File 1 —* {{uvote-platform/k8s/database/schema.sql}} *(replace existing)*

Combined schema containing table definitions, indexes, triggers, and extensions only. No {{CREATE USER}}, no {{GRANT}}, no {{INSERT}}.

* Base: {{init.sql}} — use as-is, it is the correct application schema
* Add: {{audit_log}} table following the {{init.sql}} design pattern ({{event_type}}, {{actor_type}}, {{actor_id}}, {{detail JSONB}}, {{event_hash}}, {{previous_hash}})
* Add: immutability trigger on {{audit_log}} matching the {{encrypted_ballots}} pattern ({{prevent_audit_modification}}, {{immutable_audit}})
* Add: auto-hash trigger on {{audit_log}} matching the {{generate_ballot_hash}} pattern ({{generate_audit_hash}}, {{auto_audit_hash}})
* Keep: {{DROP TABLE IF EXISTS}} block at top covering all tables in dependency order
* Keep: {{CREATE EXTENSION IF NOT EXISTS pgcrypto;}} after the DROP block
* Add header comment documenting: anonymity vs accountability design principle, table groups (tenancy, identity, election, ballot auth, ledger, audit), and that roles and seed data are in separate files

*File 2 —* {{uvote-platform/k8s/database/create_roles.sql}} *(new file)*

All {{CREATE USER}} and {{GRANT}} statements only. No table definitions, no seed data. Applied after {{schema.sql}}.

Take the role definitions from {{schema.sql}} and update all table and sequence names to match the combined schema:

||Role||Access||
|{{auth_service}}|{{organisers}} (not {{admins}})|
|{{voting_service}}|{{encrypted_ballots}} (not {{votes}}), {{election_options}} (not {{candidates}}), {{blind_tokens}}|
|{{election_service}}|{{elections}}, {{election_options}} (not {{candidates}})|
|{{results_service}}|{{encrypted_ballots}}, {{elections}}, {{election_options}}, {{tallied_votes}}|
|{{audit_service}}|{{audit_log}} (not {{audit_logs}})|
|{{admin_service}}|{{voters}}, {{election_options}}, {{voting_tokens}}, {{organisations}}, {{organisers}}|

Add header comment explaining: per-service least-privilege grants, placeholder passwords overridden at deploy time by {{deploy_platform.py}}, apply order.

*File 3 —* {{uvote-platform/k8s/database/seed_data.sql}} *(new file)*

All {{INSERT}} statements only. No table definitions, no roles. Applied after {{create_roles.sql}}.

* {{INSERT INTO organisations}} — Demo University
* {{INSERT INTO organisers}} — {{admin@uvote.com}} / bcrypt hash of {{admin123}}, {{org_id = 1}}
* {{INSERT INTO elections}} — Student Council 2026, {{organiser_id = 1}}
* {{INSERT INTO election_options}} (not {{candidates}}) — Alice Johnson, Bob Smith, Carol White, {{election_id = 1}}

All table names must match the combined schema. Add header comment warning that this is development/test seed data only and the admin password must be changed before any real deployment.

----

*Apply order*

{noformat}schema.sql → create_roles.sql → seed_data.sql
{noformat}

{{deploy_platform.py}} must be updated to apply all three files in this order. This is a follow-up task within this ticket.

----

*Constraints*

* Do not modify {{database/init.sql}}
* Do not modify any application service code
* {{schema.sql}} must contain zero {{CREATE USER}}, {{GRANT}}, or {{INSERT}} statements
* {{create_roles.sql}} must contain zero {{CREATE TABLE}} statements
* {{seed_data.sql}} must contain zero {{CREATE TABLE}} statements
* All three files must be valid PostgreSQL
* If {{init.sql}} already contains an {{audit_log}} table use it as-is — do not create a duplicate

----

*Acceptance Criteria*

* {{uvote-platform/k8s/database/schema.sql}} contains only table definitions, indexes, triggers, and extensions
* {{uvote-platform/k8s/database/create_roles.sql}} exists and contains all role creation and grant statements with correct table names
* {{uvote-platform/k8s/database/seed_data.sql}} exists and contains all seed data with correct table names
* {{deploy_platform.py}} applies all three files in order during cluster setup
* Running {{setup_k8s_platform.py}} followed by {{deploy_platform.py}} produces a cluster where {{auth-service}} starts without {{UndefinedTableError}}
* {{test_db.py --quick}} passes all 10 tests against the rebuilt cluster",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000jn:,,,,,,,In Progress,21/Mar/26 7:38 AM
Add unit tests for shared/logging_config.py,CV-19,10310,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 9:34 PM,20/Mar/26 9:43 PM,,,,0,"Create a pytest unit test file at {{tests/test_logging_config.py}} that validates the centralised logging configuration introduced in {{shared/logging_config.py}}. The tests must run without a live database or running services — no cluster, no Docker, no external dependencies.

----

*Test Cases*

*1 —* {{configure_logging()}} *installs a handler on the root logger*

Call {{configure_logging()}} and assert that {{logging.getLogger('')}} has at least one handler attached. This confirms {{dictConfig}} applied successfully.

*2 — Output is valid JSON*

After calling {{configure_logging()}}, redirect the root logger's stream handler to a {{io.StringIO}} buffer, emit one {{logger.info(...)}} call, and assert the captured line parses with {{json.loads()}} without raising an exception.

*3 — Required fields are present in every log line*

Parse the captured JSON and assert all four fields are present: {{asctime}}, {{name}}, {{levelname}}, {{message}}.

*4 —* {{asctime}} *matches the configured date format*

Assert the {{asctime}} value matches the pattern {{%Y-%m-%dT%H:%M:%SZ}} (e.g. {{2026-03-20T14:00:00Z}}). Use {{datetime.strptime()}} to validate — do not use regex.

*5 — Logger name is preserved correctly*

Call {{logging.getLogger('auth-service')}} after {{configure_logging()}}, emit a log line, and assert the {{name}} field in the JSON output equals {{""auth-service""}}. Repeat for one other service name (e.g. {{""voter-service""}}).

*6 — Log level is reflected in output*

Emit one {{logger.info(...)}} and one {{logger.warning(...)}} call, capture both lines, and assert {{levelname}} is {{""INFO""}} and {{""WARNING""}} respectively.

*7 — Messages below INFO are suppressed*

Emit a {{logger.debug(...)}} call and assert nothing is written to the buffer (i.e. the root logger level of {{INFO}} is enforced).

*8 —* {{configure_logging()}} *is idempotent*

Call {{configure_logging()}} twice and assert the root logger does not accumulate duplicate handlers (i.e. {{len(logging.getLogger('').handlers)}} does not increase on the second call). If the current implementation does not handle this, the test should document the behaviour and be marked {{xfail}} until fixed.

----

*Implementation Notes*

* Use {{pytest}} with {{io.StringIO}} to capture log output — do not write to disk or use {{capfd}}.
* Add a {{@pytest.fixture(autouse=True)}} that resets {{logging.root.handlers}} to {{[]}} before each test to prevent state leakage between cases (mirrors the function-scoped rollback pattern used in {{test_api.py}}).
* {{pythonjsonlogger}} must be installed in the test environment. Add it to a {{requirements-test.txt}} or the existing {{requirements.txt}} in {{shared/}} if not already present.
* Run with: {{python3 -m pytest tests/test_logging_config.py -v}}

----

*Acceptance Criteria*

* [ ] All 8 test cases implemented in {{tests/test_logging_config.py}}
* [ ] All tests pass with {{pytest}} and produce no warnings
* [ ] No running cluster, database, or service is required to execute the suite
* [ ] Tests are isolated — passing or failing one does not affect another",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000jr:,,,,,,,In Progress,20/Mar/26 9:43 PM
Add health check assertions for all services to test_api.py,CV-8,10299,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,20/Mar/26 7:38 PM,21/Mar/26 7:26 AM,21/Mar/26 7:26 AM,,,0,"test_api.py currently has no health check stage. The first assertion is an
auth registration call. Add a Stage 0 health check that runs before all other
stages and fails fast if any service is unreachable.

Expected responses per service:
  auth-service     GET /health → {""status"": ""healthy"", ""service"": ""auth""}
  election-service GET /health → {""status"": ""healthy"", ""service"": ""election""}
  voting-service   GET /health → {""status"": ""healthy"", ""service"": ""voting""}
  results-service  GET /health → {""status"": ""healthy"", ""service"": ""results""}
  voter-service    GET /health → {""status"": ""healthy"", ""service"": ""admin""}
                   (returns ""admin"" after fix in preceding ticket)
  frontend-service GET /health → {""status"": ""healthy"", ""service"": ""frontend""}
                   (endpoint does not exist yet — depends on preceding ticket)

The health check stage should assert both status == ""healthy"" AND the correct
service name field. The current audit found these are shallow checks with no
DB connectivity probe — that is acceptable for now.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000jz:,,,,,,,In Progress,20/Mar/26 9:52 PM
Fix setup_k8s_platform.py to apply create_roles.sql and seed_data.sql,CV-35,10358,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,21/Mar/26 8:14 AM,21/Mar/26 8:15 AM,21/Mar/26 8:15 AM,,,0,"setup_k8s_platform.py apply_database_schema() (line 323) applies only
schema.sql. The two additional SQL files at the same path are never applied:

  uvote-platform/k8s/database/create_roles.sql
  uvote-platform/k8s/database/seed_data.sql

Current code:
  schema_file = k8s_dir / ""database"" / ""schema.sql""

h1. only this file is piped to psql — nothing else

Impact:

* seed_data.sql not applied → no default organiser account ([admin@uvote.com|mailto:admin@uvote.com]),
no sample election, no election options → system is unrunnable after fresh
cluster setup. BREAKING.
* create_roles.sql not applied → six per-service PostgreSQL users
(auth_service, voting_service, election_service, results_service,
audit_service, admin_service) and their GRANT statements are never
created. All services currently fall back to uvote_admin superuser.

Fix: After applying schema.sql, apply create_roles.sql then seed_data.sql
in the correct order using the same kubectl exec psql pattern already
in the function:

h1. Step 1 — already done

  kubectl exec postgresql -- psql -U uvote_admin -d uvote < schema.sql

h1. Step 2 — add this

  kubectl exec postgresql -- psql -U uvote_admin -d uvote < create_roles.sql

h1. Step 3 — add this

  kubectl exec postgresql -- psql -U uvote_admin -d uvote < seed_data.sql

Order is critical — create_roles.sql depends on tables existing (schema.sql
must be applied first), and seed_data.sql depends on roles existing
(create_roles.sql must be applied second).",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000k3:,,,,,,,In Progress,21/Mar/26 8:14 AM
Expose /metrics endpoint on all FastAPI services,CV-21,10344,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,21/Mar/26 5:23 AM,23/Mar/26 11:50 PM,23/Mar/26 11:24 PM,,,0,"Wire prometheus-fastapi-instrumentator into all 6 FastAPI app.py files
to expose a /metrics endpoint on each service.

Add the following to each app.py after app initialisation:

  from prometheus_fastapi_instrumentator import Instrumentator
  Instrumentator().instrument(app).expose(app)

This automatically instruments all existing routes and exposes:

* http_requests_total (counter by method, path, status)
* http_request_duration_seconds (histogram — p50/p95/p99 latency)
* http_requests_in_progress (gauge)

Services and their ports for Prometheus scrape config:
  auth-service:     5001/metrics
  election-service: 5002/metrics
  voting-service:   5003/metrics
  results-service:  5004/metrics
  voter-service:    5002/metrics (deployed as admin-service)
  frontend-service: 5000/metrics

The platform infrastructure doc identifies these SLIs as targets:

* Request rate per service per endpoint
* Response time percentiles (p50, p95, p99)
* Error rate per service (5xx_responses / total_responses * 100)
* Active DB connections per pool

Note: the zero-trust network policies (00-default-deny) will block
Prometheus from scraping /metrics unless an egress policy is added
allowing Prometheus pod → each service on the service port.
Create k8s/network-policies/05-allow-prometheus-scrape.yaml as part
of this ticket.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000kf:,,,,,,,In Progress,23/Mar/26 11:24 PM
Add prometheus-fastapi-instrumentator to all service requirements.txt,CV-20,10343,Task,Review,CV,Cinnamon Voting,software,Luke Doyle,63bb170a2341bff4fff5d364,,Medium,,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,Luke Doyle,63bb170a2341bff4fff5d364,21/Mar/26 5:23 AM,23/Mar/26 11:51 PM,23/Mar/26 11:50 PM,,,0,"Add prometheus-fastapi-instrumentator as a dependency to the requirements.txt
of all 6 services: auth-service, election-service, voting-service,
results-service, voter-service, frontend-service.

No service currently exposes a /metrics endpoint. The platform infrastructure
doc confirms this is fully absent — grep for ""/metrics"" across all app.py
files returns 0 matches.

Add to each requirements.txt:
  prometheus-fastapi-instrumentator==6.1.0

This is a prerequisite for the /metrics endpoint ticket. Prometheus cannot
scrape any service until this is installed and wired up.",,Luke Doyle,63bb170a2341bff4fff5d364,,,,,,,,,{},,0|i000kj:,,,,,,,In Progress,23/Mar/26 11:24 PM
